Time,ID,Instance,Obj,Feasible,Validator-Obj
2015-05-25 Mon 09:40:29,6,n050w4,1910,1,0
2015-05-25 Mon 09:40:32,7,n050w4,1990,1,0
2015-05-25 Mon 09:52:35,0,n030w8,2835,1,0
2015-05-25 Mon 09:52:37,1,n030w8,2785,1,0
2015-05-25 Mon 09:52:40,2,n030w8,2865,1,0
2015-05-25 Mon 09:52:43,3,n030w8,2710,1,0
2015-05-25 Mon 09:52:46,4,n030w8,2610,1,0
2015-05-25 Mon 09:52:49,5,n030w8,2670,1,0
2015-05-25 Mon 09:52:52,6,n030w8,2810,1,0
2015-05-25 Mon 09:52:55,7,n030w8,2775,1,0
2015-05-25 Mon 10:05:18,0,n040w4,2270,1,0
2015-05-25 Mon 10:05:20,1,n040w4,2215,1,0
2015-05-25 Mon 10:05:23,2,n040w4,2130,1,0
2015-05-25 Mon 10:05:26,3,n040w4,2225,1,0
2015-05-25 Mon 10:05:29,4,n040w4,2125,1,0
2015-05-25 Mon 10:05:32,5,n040w4,2155,1,0
2015-05-25 Mon 10:05:35,6,n040w4,2215,1,0
2015-05-25 Mon 10:05:38,7,n040w4,2175,1,0
2015-05-25 Mon 10:14:24,0,n030w4,2235,1,0
2015-05-25 Mon 10:14:26,1,n030w4,2230,1,0
2015-05-25 Mon 10:14:29,2,n030w4,2285,1,0
2015-05-25 Mon 10:14:32,3,n030w4,2245,1,0
2015-05-25 Mon 10:14:35,4,n030w4,2260,1,0
2015-05-25 Mon 10:14:38,5,n030w4,2155,1,0
2015-05-25 Mon 10:14:41,6,n030w4,2240,1,0
2015-05-25 Mon 10:14:44,7,n030w4,2250,1,0
2015-05-25 Mon 10:30:04,0,n120w8,5805,1,0
2015-05-25 Mon 10:30:06,1,n120w8,5770,1,0
2015-05-25 Mon 10:30:09,2,n120w8,5530,1,0
2015-05-25 Mon 10:30:12,3,n120w8,5555,1,0
2015-05-25 Mon 10:30:15,4,n120w8,5625,1,0
2015-05-25 Mon 10:30:18,5,n120w8,6020,1,0
2015-05-25 Mon 10:30:21,6,n120w8,5875,1,0
2015-05-25 Mon 10:30:24,7,n120w8,5725,1,0
2015-05-25 Mon 11:58:21,0,n100w8,4580,1,0
2015-05-25 Mon 11:58:24,1,n100w8,4625,1,0
2015-05-25 Mon 11:58:26,2,n100w8,4800,1,0
2015-05-25 Mon 11:58:29,3,n100w8,5020,1,0
2015-05-25 Mon 11:58:33,4,n100w8,4650,1,0
2015-05-25 Mon 11:58:36,5,n100w8,4840,1,0
2015-05-25 Mon 11:58:38,6,n100w8,4825,1,0
2015-05-25 Mon 11:58:42,7,n100w8,4720,1,0
2015-05-25 Mon 13:13:30,0,n120w4,3335,1,0
2015-05-25 Mon 13:13:32,1,n120w4,3350,1,0
2015-05-25 Mon 13:13:35,2,n120w4,3300,1,0
2015-05-25 Mon 13:13:38,3,n120w4,3315,1,0
2015-05-25 Mon 13:13:41,4,n120w4,3445,1,0
2015-05-25 Mon 13:13:44,5,n120w4,3190,1,0
2015-05-25 Mon 13:13:47,6,n120w4,3315,1,0
2015-05-25 Mon 13:13:50,7,n120w4,3340,1,0
2015-05-25 Mon 13:54:22,0,n080w8,6330,1,0
2015-05-25 Mon 13:54:24,1,n080w8,6235,1,0
2015-05-25 Mon 13:54:27,2,n080w8,6075,1,0
2015-05-25 Mon 13:54:30,3,n080w8,6590,1,0
2015-05-25 Mon 13:54:33,4,n080w8,6265,1,0
2015-05-25 Mon 13:54:36,5,n080w8,6125,1,0
2015-05-25 Mon 13:54:39,6,n080w8,6370,1,0
2015-05-25 Mon 13:54:42,7,n080w8,6360,1,0
2015-05-25 Mon 14:51:59,0,n100w4,2695,1,0
2015-05-25 Mon 14:52:02,1,n100w4,2740,1,0
2015-05-25 Mon 14:52:04,2,n100w4,2845,1,0
2015-05-25 Mon 14:52:07,3,n100w4,2615,1,0
2015-05-25 Mon 14:52:10,4,n100w4,2695,1,0
2015-05-25 Mon 14:52:13,5,n100w4,2635,1,0
2015-05-25 Mon 14:52:16,6,n100w4,2670,1,0
2015-05-25 Mon 14:52:19,7,n100w4,2675,1,0
2015-05-25 Mon 15:24:05,0,n060w8,4750,1,0
2015-05-25 Mon 15:24:07,1,n060w8,4610,1,0
2015-05-25 Mon 15:24:10,2,n060w8,4575,1,0
2015-05-25 Mon 15:24:13,3,n060w8,4510,1,0
2015-05-25 Mon 15:24:16,4,n060w8,4595,1,0
2015-05-25 Mon 15:24:19,5,n060w8,4580,1,0
2015-05-25 Mon 15:24:22,6,n060w8,4780,1,0
2015-05-25 Mon 15:24:25,7,n060w8,4470,1,0
2015-05-25 Mon 16:04:11,0,n080w4,4220,1,0
2015-05-25 Mon 16:04:13,1,n080w4,4205,1,0
2015-05-25 Mon 16:04:16,2,n080w4,4070,1,0
2015-05-25 Mon 16:04:19,3,n080w4,4105,1,0
2015-05-25 Mon 16:04:22,4,n080w4,4285,1,0
2015-05-25 Mon 16:04:25,5,n080w4,4210,1,0
2015-05-25 Mon 16:04:28,6,n080w4,4195,1,0
2015-05-25 Mon 16:04:31,7,n080w4,4200,1,0
2015-05-25 Mon 16:28:37,0,n050w8,6945,1,0
2015-05-25 Mon 16:28:39,1,n050w8,6855,1,0
2015-05-25 Mon 16:28:42,2,n050w8,7135,1,0
2015-05-25 Mon 16:28:45,3,n050w8,6975,1,0
2015-05-25 Mon 16:28:48,4,n050w8,6965,1,0
2015-05-25 Mon 16:28:51,5,n050w8,6830,1,0
2015-05-25 Mon 16:28:54,6,n050w8,6850,1,0
2015-05-25 Mon 16:28:57,7,n050w8,6980,1,0
2015-05-25 Mon 16:58:51,0,n060w4,3330,1,0
2015-05-25 Mon 16:58:53,1,n060w4,3245,1,0
2015-05-25 Mon 16:58:56,2,n060w4,3380,1,0
2015-05-25 Mon 16:58:59,3,n060w4,3395,1,0
2015-05-25 Mon 16:59:02,4,n060w4,3495,1,0
2015-05-25 Mon 16:59:05,5,n060w4,3405,1,0
2015-05-25 Mon 16:59:08,6,n060w4,3440,1,0
2015-05-25 Mon 16:59:11,7,n060w4,3480,1,0
2015-05-25 Mon 17:15:37,0,n040w8,3875,1,0
2015-05-25 Mon 17:15:39,1,n040w8,3675,1,0
2015-05-25 Mon 17:15:42,2,n040w8,3710,1,0
2015-05-25 Mon 17:15:45,3,n040w8,4000,1,0
2015-05-25 Mon 17:15:48,4,n040w8,3725,1,0
2015-05-25 Mon 17:15:51,5,n040w8,3580,1,0
2015-05-25 Mon 17:15:54,6,n040w8,3935,1,0
2015-05-25 Mon 17:15:57,7,n040w8,3630,1,0
2015-05-25 Mon 17:37:06,0,n050w4,1930,1,0
2015-05-25 Mon 17:37:08,1,n050w4,2045,1,0
2015-05-25 Mon 17:37:11,2,n050w4,1845,1,0
2015-05-25 Mon 17:37:13,3,n050w4,2000,1,0
2015-05-25 Mon 17:37:17,4,n050w4,1920,1,0
2015-05-25 Mon 17:37:20,5,n050w4,1825,1,0
2015-05-25 Mon 17:37:23,6,n050w4,1970,1,0
2015-05-25 Mon 17:37:26,7,n050w4,1895,1,0
2015-05-25 Mon 17:49:28,0,n030w8,2670,1,0
2015-05-25 Mon 17:49:31,1,n030w8,2720,1,0
2015-05-25 Mon 17:49:33,2,n030w8,2700,1,0
2015-05-25 Mon 17:49:36,3,n030w8,2765,1,0
2015-05-25 Mon 17:49:39,4,n030w8,2765,1,0
2015-05-25 Mon 17:49:42,5,n030w8,2760,1,0
2015-05-25 Mon 17:49:45,6,n030w8,2685,1,0
2015-05-25 Mon 17:49:48,7,n030w8,2750,1,0
2015-05-25 Mon 18:02:11,0,n040w4,2210,1,0
2015-05-25 Mon 18:02:13,1,n040w4,2195,1,0
2015-05-25 Mon 18:02:16,2,n040w4,2270,1,0
2015-05-25 Mon 18:02:19,3,n040w4,2225,1,0
2015-05-25 Mon 18:02:22,4,n040w4,2120,1,0
2015-05-25 Mon 18:02:25,5,n040w4,2200,1,0
2015-05-25 Mon 18:02:28,6,n040w4,2190,1,0
2015-05-25 Mon 18:02:31,7,n040w4,2155,1,0
2015-05-25 Mon 18:11:17,0,n030w4,2220,1,0
2015-05-25 Mon 18:11:19,1,n030w4,2210,1,0
2015-05-25 Mon 18:11:22,2,n030w4,2200,1,0
2015-05-25 Mon 18:11:25,3,n030w4,2275,1,0
2015-05-25 Mon 18:11:28,4,n030w4,2295,1,0
2015-05-25 Mon 18:11:31,5,n030w4,2235,1,0
2015-05-25 Mon 18:11:34,6,n030w4,2255,1,0
